No ,Country,Index,food_loss_waste,sustainable_ag,nutrition_challenge
1,France,76.1,85.8,71,71.4
2,Netherlands,75.6,80.7,77.1,69
3,Canada,75.3,82.1,73,70.9
4,Finland,74.1,80.2,70.4,71.5
5,Czech Republic,74,80.4,76.1,65.6
6,Japan,73.8,71.6,73.4,76.5
7,Denmark,73.5,67.8,79.6,73.1
8,Sweden,73.4,75,72.7,72.4
9,Austria,73.3,69.1,79.9,70.7
10,Hungary,72.5,78.3,76.7,62.4
11,Australia,71.8,77.5,73.4,64.6
12,Rwanda,71.6,72.5,71,71.2
13,Argentina,71.5,83.4,66.9,64.1
14,Croatia,71.4,77.1,66.3,70.9
15,Poland,71.3,71.5,78,64.3
16,Colombia,71.2,73,76.5,64
17,Germany,71.2,69.5,78,66
18,Ireland,71,64.4,76.4,72.1
19,Spain,70.9,78.9,66.6,67.3
20,Estonia,70.8,73.7,69.6,69
21,Portugal,70.6,70,69.7,71.9
22,South Korea,70.5,62.5,73.4,75.6
23,China,70.2,82.4,60.7,67.5
24,United Kingdom,70,78.9,61.5,69.7
25,Uganda,68.7,77.1,68.9,60.2
26,United States,68.6,77.7,68.6,59.5
27,Ethiopia,68.5,81.8,66.6,57.1
28,Italy,68.1,70.6,70.2,63.5
29,Luxembourg,67.9,83.2,53.6,67
30,Tanzania,67.4,70.3,70.5,61.3
31,Zimbabwe,67.3,78.2,70.5,53.2
32,Zambia,67.2,77.9,72.7,51.1
33,Burkina Faso,66.4,71.4,67.5,60.4
34,India,66.4,81.1,65.5,52.5
35,Belgium,66.2,55.1,74.6,68.8
36,Cote d'Ivoire,65.9,70.3,73.9,53.5
37,Cyprus,65.8,65.7,63.9,67.7
38,Senegal,65.8,70.9,65.3,61.1
39,Mexico,65.6,66.3,69.4,61.3
40,Brazil,65.5,69.1,64.2,63.2
41,Lithuania,65.3,66.9,66.5,62.5
42,Israel,64.6,52.5,78.3,62.9
43,Greece,64.5,60.6,65.1,67.8
44,Kenya,64.4,76.3,66.6,50.2
45,Romania,64.4,67.7,68,57.4
46,Nigeria,63.7,74.1,66.6,50.4
47,Morocco,63.5,62.1,69.4,58.9
48,Egypt,63,67.7,66.6,54.8
49,Mozambique,63,76.9,68.4,43.7
50,Jordan,62.8,65.4,64,58.8
51,Lebanon,62.4,64.5,65.1,57.6
52,Tunisia,62.3,55.7,70.1,61.3
53,Latvia,61.9,68.2,53.7,63.8
54,Malta,61.5,45.2,70.8,68.5
55,Slovakia,61.4,60.2,54.6,69.6
56,Slovenia,60.9,52.8,63,67
57,Sudan,60.9,68.7,59.7,54.2
58,Turkey,60.1,48.2,68.3,63.7
59,Cameroon,59.7,49.8,72.2,57
60,Indonesia,59.1,61.4,61.1,54.9
61,Sierra Leone,58.8,64.5,66.8,44.9
62,Ghana,57.6,65.2,57.4,50.2
63,South Africa,56.4,60.5,52.4,56.3
64,Saudi Arabia,56.2,60.2,52.4,56
65,Russia,56.1,58,53.9,56.5
66,Bulgaria,54.5,52.4,53.7,57.3
67,UAE,52.3,34.6,56.9,65.5
